Tue Apr 19 14:29:00 2016    prof

         750002 function calls (710226 primitive calls) in 1.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3323(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3295(_makeTags)
     1020    0.001    0.000    0.002    0.000 expatbuilder.py:801(end_element_handler)
      138    0.000    0.000    0.002    0.000 cm.py:56(_generate_cmap)
     56/2    0.000    0.000    0.002    0.001 pyparsing.py:2557(parseImpl)
       27    0.002    0.000    0.002    0.000 {dir}
        2    0.000    0.000    0.002    0.001 pyparsing.py:2704(parseImpl)
        1    0.000    0.000    0.002    0.002 parser.py:7(<module>)
     1017    0.001    0.000    0.002    0.000 minidom.py:822(_get_attributes)
        1    0.001    0.001    0.002    0.002 pickle.py:25(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
        1    0.000    0.000    0.002    0.002 gzip.py:4(<module>)
     20/8    0.000    0.000    0.002    0.000 pyparsing.py:2411(parseImpl)
        1    0.001    0.001    0.002    0.002 rosdistro.py:1(<module>)
     2117    0.001    0.000    0.002    0.000 sre_parse.py:138(append)
2739/2719    0.001    0.000    0.002    0.000 {issubclass}
        1    0.001    0.001    0.002    0.002 widgets.py:10(<module>)
      172    0.000    0.000    0.001    0.000 minidom.py:292(_write_data)
        1    0.000    0.000    0.001    0.001 numerictypes.py:88(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
      486    0.000    0.000    0.001    0.000 posixpath.py:95(splitext)
        1    0.000    0.000    0.001    0.001 gentools.py:38(<module>)
        1    0.000    0.000    0.001    0.001 specifiers.py:224(LegacySpecifier)
      731    0.001    0.000    0.001    0.000 __init__.py:2677(__getattr__)
        1    0.000    0.000    0.001    0.001 path.py:3(<module>)
       78    0.000    0.000    0.001    0.000 __init__.py:1625(has_metadata)
      406    0.000    0.000    0.001    0.000 rospack.py:70(is_system_dependency)
      106    0.000    0.000    0.001    0.000 posixpath.py:341(abspath)
     2731    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.001    0.001 precision.py:6(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
      476    0.001    0.000    0.001    0.000 rospack.py:74(_ros_flag)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
     17/9    0.000    0.000    0.001    0.000 __init__.py:252(wrapper)
        1    0.001    0.001    0.001    0.001 manifestlib.py:40(<module>)
        1    0.001    0.001    0.001    0.001 path.py:18(Path)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.001    0.001 tcpros_service.py:33(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:689(rc_params)
        1    0.001    0.001    0.001    0.001 mathtext.py:19(<module>)
      139    0.001    0.000    0.001    0.000 minidom.py:1904(_get_StringIO)
      114    0.000    0.000    0.001    0.000 expatbuilder.py:821(reset)
        1    0.000    0.000    0.001    0.001 plistlib.py:51(<module>)
        1    0.001    0.001    0.001    0.001 httplib.py:67(<module>)
      337    0.001    0.000    0.001    0.000 posixpath.py:118(dirname)
        1    0.001    0.001    0.001    0.001 xmlrpclib.py:138(<module>)
       17    0.000    0.000    0.001    0.000 abc.py:86(__new__)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
        1    0.001    0.001    0.001    0.001 precision.py:21(_fill_table)
       40    0.000    0.000    0.001    0.000 pyparsing.py:678(copy)
     6343    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
     1830    0.001    0.000    0.001    0.000 version.py:217(<genexpr>)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
      113    0.001    0.000    0.001    0.000 posixpath.py:312(normpath)
        6    0.000    0.000    0.001    0.000 patches.py:1531(_pprint_styles)
        1    0.001    0.001    0.001    0.001 cbook.py:4(<module>)
     3227    0.001    0.000    0.001    0.000 {min}
        4    0.000    0.000    0.001    0.000 __init__.py:454(_get_configdir)
        1    0.000    0.000    0.001    0.001 csr.py:8(<module>)
      238    0.000    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 texmanager.py:34(<module>)
        1    0.001    0.001    0.001    0.001 rrule.py:6(<module>)
        1    0.000    0.000    0.001    0.001 csr.py:10(swig_import_helper)
     1795    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x895060}
       42    0.000    0.000    0.001    0.000 copy.py:66(copy)
       70    0.000    0.000    0.001    0.000 docstring.py:112(<lambda>)
